Samosa,Corn Cheese Ball,Mysore Bonda,Pani puri,VADA PAV,Dahi papdi chaat,Pav Bhaji,,,,,
Imli chutney,Tomato ketchup,Coconut Chutney,,lemonade,Green Chutney and Imlie chutney,Onions+Lemon,,,,,
TEA/COFFEE/MILK,TEA/COFFEE/MILK,TEA/COFFEE/MILK,TEA/COFFEE/MILK,TEA/COFFEE/MILK,TEA/COFFEE/MILK,TEA/COFFEE/MILK,,,,,
,,,,,,,,,,,
DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,,,,,
PUDINA CHAPATI,CHAPATI,Tawa paratha,MASALA CHAPATI,METHI CHAPATHI,Ajwain Chapati,Laccha Paratha,,,,,
Gutti Vankai Curry,Gatte ki Subji,,Malai Kofta,,Veg Manchurian,,,,,,
Gobhi 65,Small Pieces Aloo Fry,ALOO METHI,Masala Aloo Do Pyaza,TAWA SUBZI,Bhindi Pulusu,SUBZI HANDI,,,,,
Red Sauce Pasta Live,Vangi bath,Veg Biryani,Tomato Rice,,Puliogare,Veg Fried Rice,,,,,
PLAIN RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,Steam Rice,PLAIN RICE,,,,,
Methi Dal,Arhar Dal,DAL PANCHMEL,Mango Pappu,Moong Dal,Dal Tadka,DAL Makhani,,,,,
CARROT SAMBAR,Malbar Cucumber SAMBAR,Pepper Rasam,Pumpkin Sambhar,LAUKI SAMBAR,Pumpkin Sambar,MANGLUR CUCUMBER SAMBAR,,,,,
Buttermilk,CURD,Raita,Curd,Mix Veg Raita,Curd,Curd,,,,,
Green Salad,PUNJABI SALAD,Green Salad+Onion,Red sauce PASTA Salad,VEG CORN SALAD,Salad,GREEN SALAD+Onion,,,,,
Shahi Tukda,Kheer,Aamras,Kala Jamun,Jalebi with Rabdi,Mango lassi,Rasmalai,,,,,
 ,,Tawa Paneer, ,Veg Dum biryani with paneer semi gravy, ,Paneer butter masala,,,,,
 , ,Chicken Lababdar,,hyderabadi chicken biryani, ,Andhra style chicken gravy,,,,,
,,,,,,,,,,,
 ,,, ,, ,,,,,,
 , ,, ,, ,,,,,,
,,, ,,,,,,,,
